Date,Price,Open,High,Low,Change %
01/12/12,8.049,8.168,8.184,8.049,-1.57%
01/11/12,8.177,8.209,8.23,8.166,-0.49%
01/10/12,8.217,8.156,8.217,8.129,0.80%
01/09/12,8.152,8.222,8.222,8.135,-1.08%
01/08/12,8.241,8.233,8.265,8.123,-0.07%
01/07/12,8.247,8.399,8.399,8.029,-1.70%
01/06/12,8.39,8.407,8.446,8.285,0.16%
01/05/12,8.377,8.693,8.696,8.377,-3.44%
01/04/12,8.675,8.694,8.739,8.342,1.01%
01/03/12,8.588,8.216,8.622,8.216,4.69%
01/02/12,8.203,8.133,8.272,8.103,-0.80%
01/01/12,8.269,8.518,8.518,8.135,-3.53%
01/12/11,8.572,8.692,8.704,8.279,-1.90%
01/11/11,8.738,8.956,9.115,8.738,-1.59%
01/10/11,8.879,8.506,8.879,8.506,5.18%
01/09/11,8.442,8.338,8.442,8.281,1.48%
01/08/11,8.319,8.428,8.461,8.192,-1.60%
01/07/11,8.454,8.357,8.472,8.238,1.54%
01/06/11,8.326,8.357,8.397,8.196,-1.01%
01/05/11,8.411,8.148,8.461,8.139,3.39%
01/04/11,8.135,7.989,8.135,7.964,1.88%
01/03/11,7.985,8.016,8.018,7.931,-0.09%
01/02/11,7.992,8.145,8.212,7.992,-1.91%
01/01/11,8.148,7.95,8.234,7.95,2.97%
01/12/10,7.913,8.083,8.219,7.893,-1.90%
01/11/10,8.066,8.115,8.115,7.937,-0.68%
01/10/10,8.121,7.896,8.177,7.896,3.43%
01/09/10,7.852,7.942,8.009,7.833,-1.06%
01/08/10,7.936,7.857,8.067,7.784,1.70%
01/07/10,7.803,7.521,7.803,7.521,3.20%
01/06/10,7.561,7.564,7.686,7.463,-0.04%
01/05/10,7.564,8.07,8.07,7.368,-6.17%
01/04/10,8.061,7.843,8.124,7.772,2.69%
01/03/10,7.85,7.92,8.015,7.738,-0.18%
01/02/10,7.864,7.584,7.923,7.584,3.60%
01/01/10,7.591,7.706,7.806,7.538,-1.15%
01/12/09,7.679,7.26,7.739,7.26,5.82%
01/11/09,7.257,7.288,7.359,7.168,-0.67%
01/10/09,7.306,7.194,7.462,7.164,1.26%
01/09/09,7.215,7.434,7.479,7.041,-2.95%
01/08/09,7.434,7.005,7.434,7.005,6.23%
01/07/09,6.998,6.968,7.076,6.812,-0.21%
01/06/09,7.013,6.662,7.027,6.536,4.52%
01/05/09,6.71,6.345,6.717,6.187,7.50%
01/04/09,6.242,6.951,7.026,6.062,-11.01%
01/03/09,7.014,6.288,7.119,6.288,10.84%
01/02/09,6.328,6.134,6.693,6.134,2.28%
01/01/09,6.187,5.229,6.196,5.058,17.62%
01/12/08,5.26,7.021,7.065,5.26,-25.71%
01/11/08,7.08,7.514,7.763,7.073,-5.32%
01/10/08,7.478,8.524,8.524,7.442,-13.22%
01/09/08,8.617,8.711,8.711,8.097,-0.95%
01/08/08,8.7,9.265,9.274,8.661,-6.61%
01/07/08,9.316,8.792,9.478,8.792,6.92%
01/06/08,8.713,8.077,8.74,8.077,7.55%
01/05/08,8.101,7.941,8.129,7.874,1.82%
01/04/08,7.956,7.948,8.2,7.887,0.23%
01/03/08,7.938,7.521,7.938,7.521,4.89%
01/02/08,7.568,7.496,7.679,7.439,0.52%
01/01/08,7.529,7.774,7.774,7.376,-3.36%
01/12/07,7.791,7.791,7.791,7.791,-1.44%
01/11/07,7.905,7.905,7.905,7.905,0.84%
01/10/07,7.839,7.839,7.839,7.839,-1.09%
01/09/07,7.925,7.925,7.925,7.925,-0.06%
01/08/07,7.93,7.93,7.93,7.93,1.08%
01/07/07,7.845,7.845,7.845,7.845,-4.18%
01/06/07,8.187,8.187,8.187,8.187,1.32%
01/05/07,8.08,8.08,8.08,8.08,-1.14%
01/04/07,8.173,8.173,8.173,8.173,1.88%
01/03/07,8.022,8.022,8.022,8.022,0.28%
01/02/07,8,8,8,8,3.39%
01/01/07,7.738,7.738,7.738,7.738,1.56%
01/12/06,7.619,7.619,7.619,7.619,2.63%
01/11/06,7.424,7.424,7.424,7.424,-2.64%
01/10/06,7.625,7.625,7.625,7.625,-0.22%
01/09/06,7.642,7.642,7.642,7.642,-3.16%
01/08/06,7.891,7.891,7.891,7.891,-4.21%
01/07/06,8.238,8.238,8.238,8.238,1.07%
01/06/06,8.151,8.151,8.151,8.151,6.42%
01/05/06,7.659,7.659,7.659,7.659,3.64%
01/04/06,7.39,7.39,7.39,7.39,-2.12%
01/03/06,7.55,7.55,7.55,7.55,2.12%
01/02/06,7.393,7.393,7.393,7.393,0.28%
01/01/06,7.372,7.372,7.372,7.372,3.68%
01/12/05,7.11,7.11,7.11,7.11,0.38%
01/11/05,7.083,7.083,7.083,7.083,-0.23%
01/10/05,7.099,7.099,7.099,7.099,-0.03%
01/09/05,7.101,7.101,7.101,7.101,0.10%
01/08/05,7.094,7.094,7.094,7.094,1.43%
01/07/05,6.994,6.994,6.994,6.994,1.26%
01/06/05,6.907,6.907,6.907,6.907,-1.03%
01/05/05,6.979,6.979,6.979,6.979,-5.14%
01/04/05,7.357,7.357,7.357,7.357,10.20%
01/03/05,6.676,6.676,6.676,6.676,1.94%
01/02/05,6.549,6.549,6.549,6.549,-2.30%
01/01/05,6.703,6.703,6.703,6.703,-0.04%
01/12/04,6.706,6.706,6.706,6.706,-6.82%
01/11/04,7.197,7.197,7.197,7.197,3.82%
01/10/04,6.932,6.932,6.932,6.932,11.02%
01/09/04,6.244,6.244,6.244,6.244,2.55%
01/08/04,6.089,6.089,6.089,6.089,-0.78%
01/07/04,6.137,6.137,6.137,6.137,4.91%
01/06/04,5.85,5.85,5.85,5.85,10.92%
01/05/04,5.274,5.274,5.274,5.274,3.07%
01/04/04,5.117,5.117,5.117,5.117,-0.58%
01/03/04,5.147,5.147,5.147,5.147,-2.17%
01/02/04,5.261,5.261,5.261,5.261,0.73%
01/01/04,5.223,5.223,5.223,5.223,1.97%
01/12/03,5.122,5.122,5.122,5.122,-0.70%
01/11/03,5.158,5.158,5.158,5.158,1.14%
01/10/03,5.1,5.1,5.1,5.1,-1.43%
01/09/03,5.174,5.174,5.174,5.174,-1.71%
01/08/03,5.264,5.264,5.264,5.264,-6.27%
01/07/03,5.616,5.616,5.616,5.616,-1.96%
01/06/03,5.728,5.728,5.728,5.728,-1.19%
01/05/03,5.797,5.797,5.797,5.797,-1.45%
01/04/03,5.882,5.882,5.882,5.882,-4.00%
01/03/03,6.127,6.127,6.127,6.127,2.70%
01/02/03,5.966,5.966,5.966,5.966,-5.65%
01/01/03,6.323,6.323,6.323,6.323,3.95%
01/12/02,6.083,6.083,6.083,6.083,-5.32%
01/11/02,6.425,6.425,6.425,6.425,-7.22%
01/10/02,6.925,6.925,6.925,6.925,-3.39%
01/09/02,7.168,7.168,7.168,7.168,0.10%
01/08/02,7.161,7.161,7.161,7.161,-2.01%
01/07/02,7.308,7.308,7.308,7.308,-2.36%
01/06/02,7.485,7.485,7.485,7.485,-3.08%
01/05/02,7.723,7.723,7.723,7.723,4.22%
01/04/02,7.41,7.41,7.41,7.41,0.69%
01/03/02,7.359,7.359,7.359,7.359,-3.51%
01/02/02,7.627,7.627,7.627,7.627,-0.55%
01/01/02,7.669,7.669,7.669,7.669,-3.40%
01/12/01,7.939,7.939,7.939,7.939,0.75%
01/11/01,7.88,7.88,7.88,7.88,-10.45%
01/10/01,8.8,8.8,8.8,8.8,-3.53%
01/09/01,9.122,9.122,9.122,9.122,0.09%
01/08/01,9.114,9.114,9.114,9.114,-2.66%
01/07/01,9.363,9.363,9.363,9.363,-1.45%
01/06/01,9.501,9.501,9.501,9.501,-2.67%
01/05/01,9.762,9.762,9.762,9.762,-3.59%
01/04/01,10.125,10.125,10.125,10.125,-2.01%
01/03/01,10.333,10.333,10.333,10.333,2.53%
01/02/01,10.078,10.078,10.078,10.078,-3.32%
01/01/01,10.424,10.424,10.424,10.424,-4.23%
01/12/00,10.884,10.884,10.884,10.884,-4.09%
01/11/00,11.348,11.348,11.348,11.348,-2.17%
01/10/00,11.6,11.6,11.6,11.6,0.52%
01/09/00,11.54,11.54,11.54,11.54,0.30%
01/08/00,11.505,11.505,11.505,11.505,1.33%
01/07/00,11.354,11.354,11.354,11.354,2.67%
01/06/00,11.059,11.059,11.059,11.059,2.14%
01/05/00,10.827,10.827,10.827,10.827,4.47%
01/04/00,10.364,10.364,10.364,10.364,-3.64%
01/03/00,10.756,10.756,10.756,10.756,3.37%
01/02/00,10.405,10.405,10.405,10.405,-4.52%
01/01/00,10.897,10.897,10.897,10.897,-2.68%
01/12/99,11.197,11.197,11.197,11.197,-1.64%
01/11/99,11.384,11.384,11.384,11.384,-1.19%
01/10/99,11.521,11.521,11.521,11.521,-0.97%
01/09/99,11.634,11.634,11.634,11.634,0.40%
01/08/99,11.588,11.588,11.588,11.588,-0.73%
01/07/99,11.673,11.673,11.673,11.673,-1.50%
01/06/99,11.851,11.851,11.851,11.851,1.29%
01/05/99,11.7,11.7,11.7,11.7,-1.56%
01/04/99,11.886,11.886,11.886,11.886,-0.90%
01/03/99,11.994,11.994,11.994,11.994,-1.87%
01/02/99,12.223,12.223,12.223,12.223,0.03%
01/01/99,12.219,12.219,12.219,12.219,0.05%
01/12/98,12.213,12.213,12.213,12.213,-0.07%
01/11/98,12.221,12.221,12.221,12.221,-0.66%
01/10/98,12.302,12.302,12.302,12.302,0.12%
01/09/98,12.287,12.287,12.287,12.287,0.38%
01/08/98,12.241,12.241,12.241,12.241,0.34%
01/07/98,12.2,12.2,12.2,12.2,0.68%
01/06/98,12.117,12.117,12.117,12.117,0.56%
01/05/98,12.049,12.049,12.049,12.049,2.27%
01/04/98,11.781,11.781,11.781,11.781,-2.52%
01/03/98,12.086,12.086,12.086,12.086,-5.27%
