Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
16 Jul 09,4223.5,4305,4205.5,4231.4,292288337,10209.96
17 Jul 09,4231.45,4390.4,4230.15,4374.95,250233020,9545.1
20 Jul 09,4377.9,4510.3,4377.9,4502.25,280309302,10151.33
21 Jul 09,4501.5,4524,4436.6,4469.1,311984330,10289.73
22 Jul 09,4469.3,4557.95,4380.45,4398.9,337796915,11688.74
23 Jul 09,4409.7,4532.4,4405.95,4523.75,273052133,10580
24 Jul 09,4524.8,4578.75,4504.85,4568.55,351255586,11501.51
27 Jul 09,4568.65,4596.75,4528.5,4572.3,277017434,10388.02
28 Jul 09,4572.8,4599.9,4529.15,4564.1,382344566,12576.09
29 Jul 09,4565.8,4573.85,4420.8,4513.5,368035721,12501.05
30 Jul 09,4513.1,4582.35,4474.5,4571.45,338985380,13121.84
31 Jul 09,4571.6,4669.75,4571.6,4636.45,300437149,10951.04
3 Aug 09,4633.8,4723.75,4617.75,4711.4,277002677,8717.22
4 Aug 09,4706.25,4731.45,4642.6,4680.5,322871852,10938.39
5 Aug 09,4680.95,4717.2,4629.85,4694.15,244640641,9312.86
6 Aug 09,4694.35,4718.15,4559.2,4585.5,278150681,10973.92
7 Aug 09,4591.9,4591.9,4463.95,4481.4,266871982,9772.77
10 Aug 09,4486.5,4562.5,4399.85,4437.65,284079082,10028.43
11 Aug 09,4435,4510.8,4398.9,4471.35,250129719,9082.78
12 Aug 09,4473.8,4473.8,4359.4,4457.5,274149382,9375.42
13 Aug 09,4458.55,4614.15,4458.55,4605,253540980,8883.22
14 Aug 09,4605.15,4619,4559.35,4580.05,222992686,8149
17 Aug 09,4578.8,4578.8,4374.6,4387.9,252330559,8387.98
18 Aug 09,4389.5,4491.45,4372.65,4458.9,265217123,8599.04
19 Aug 09,4457.75,4477.55,4353.45,4394.1,254668765,8296.66
20 Aug 09,4394.35,4492.8,4394.35,4453.45,166600981,5675.53
21 Aug 09,4453.45,4538.7,4400.9,4528.8,185694578,7403.77
24 Aug 09,4536.95,4656.3,4536.95,4642.8,207902560,7027.01
25 Aug 09,4641.65,4672.9,4582.5,4659.35,248995054,8299.73
26 Aug 09,4659.45,4697.8,4659.1,4680.85,208840330,7346.21
27 Aug 09,4679,4707.9,4645.15,4688.2,230998335,8572.49
28 Aug 09,4688.4,4743.75,4651.4,4732.35,285794817,8769.6
31 Aug 09,4730.85,4730.85,4635,4662.1,355947859,9366.93
1 Sep 09,4662.2,4735.9,4600.65,4625.35,332639046,9952.01
2 Sep 09,4624,4650.45,4576.6,4608.35,265745955,8466.96
3 Sep 09,4608.75,4647.35,4581.05,4593.55,245965172,7664.43
4 Sep 09,4608.7,4697.2,4580.35,4680.4,243559408,7885.25
7 Sep 09,4682.4,4790,4679.3,4782.9,243162111,8418.82
8 Sep 09,4782.85,4842.2,4782.65,4805.25,310692738,11901.18
9 Sep 09,4804.9,4825.05,4783.5,4814.25,239157623,9314.22
10 Sep 09,4814.35,4889.05,4807.9,4819.4,235712405,9264.17
11 Sep 09,4819.4,4856.15,4791.55,4829.55,236392562,8539.69
14 Sep 09,4830.35,4832.25,4786.25,4808.6,168557296,6265.34
15 Sep 09,4808.35,4899.45,4808.35,4892.1,215325851,7811.97
16 Sep 09,4894.65,4966.3,4894.65,4958.4,240095210,9361.6
17 Sep 09,4958.55,5003.05,4944.15,4965.55,270017278,12490.14
18 Sep 09,4963.95,4980.85,4931.9,4976.05,222101079,9124.75
22 Sep 09,4977.1,5036.3,4977.1,5020.2,189005727,7643.28
23 Sep 09,5019.95,5030.75,4957.05,4969.95,213349260,7733.22
24 Sep 09,4977.15,5016.7,4904.05,4986.55,266932031,11724.18
25 Sep 09,4985.1,4994.35,4931.25,4958.95,179960712,7401.44
29 Sep 09,4959.15,5020.25,4959.1,5006.85,174803950,7287.18
30 Sep 09,5007.65,5087.6,5004.35,5083.95,184790308,9175.8
1 Oct 09,5087.2,5110.5,5057.05,5083.4,224761213,10100.1
